SITUACION LABORAL,RANGO,SEXO,EDAD,DEPARTAMENTO,PROVINCIA,DISTRITO,PROFESION,MARCA,MODELO,PLAZA,COLOR,CARROCERIA,ASIENTOS,USO,COT
DEPENDIENTE,A,MASCULINO,30,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,BACHILLER EN ADMINISTRACION,VOLKSWAGEN,TIGUAN,LIMA,GRIS PLATINO,SUV,5,PARTICULAR,1
DEPENDIENTE,A,FEMENINO,30,LIMA,LIMA,MIRAFLORES,BACHILLER EN ADMINISTRACION,JEEP,COMPASS,LIMA,GRIS,SUV,5,PARTICULAR,1
DEPENDIENTE,A,FEMENINO,33,LAMBAYEQUE,CHICLAYO,CHICLAYO,BACHILLER EN ADMINISTRACION,HYUNDAI,ACCENT,CHIMBOTE,BLANCO,SEDAN,5,PARTICULAR,1
DEPENDIENTE,A,FEMENINO,31,LIMA,LIMA,LOS OLIVOS,BACHILLER EN ADMINISTRACION,VOLKSWAGEN,TIGUAN,LIMA,NEGRO PERLADO,SUV,7,PARTICULAR,1
DEPENDIENTE,A,FEMENINO,20,LIMA,LIMA,MIRAFLORES,BACHILLER EN ADMINISTRACION,JEEP,COMPASS SPORT,LIMA,NEGRO,SUV,5,PARTICULAR,1
DEPENDIENTE,A,MASCULINO,31,ICA,ICA,ICA,BACHILLER EN ADMINISTRACION,VOLKSWAGEN,GOL SEDAN,LIMA,GRIS PLATINO,SEDAN,5,PARTICULAR,1
DEPENDIENTE,A,MASCULINO,30,AREQUIPA,AREQUIPA,YANAHUARA,BACHILLER EN ADMINISTRACION DE EMPRESAS,JAC,J4,LIMA,PLATA,SEDAN,5,PARTICULAR,1
DEPENDIENTE,A,MASCULINO,20,LIMA,LIMA,LOS OLIVOS,BACHILLER EN ADMINISTRACION DE EMPRESAS,TOYOTA,AVENSIS,LIMA,TURQUESA OSCURO MICA,SEDAN,5,PARTICULAR,1
DEPENDIENTE,A,MASCULINO,25,AREQUIPA,AREQUIPA,YANAHUARA,BACHILLER EN ADMINISTRACION DE EMPRESAS,AUDI,Q7,LIMA,BLANCO GLACIAR,SUV,7,PARTICULAR,1
DEPENDIENTE,A,FEMENINO,20,LIMA,LIMA,JESUS MARIA,BACHILLER EN ADMINISTRACION DE EMPRESAS,JEEP,RENEGADE LONGITUDE,LIMA,ROJO,SUV,5,PARTICULAR,1
DEPENDIENTE,A,MASCULINO,20,AREQUIPA,AREQUIPA,YANAHUARA,BACHILLER EN ADMINISTRACION DE EMPRESAS,HYUNDAI,I30,LIMA,ROJO,HATCHBACK,5,PARTICULAR,1
